row,name,s_name,ofs,type,typename
708,globaldef000707,75631,600,32770,
709,globaldef000708,75647,601,32770,
710,globaldef000709,75663,602,32770,
711,globaldef000710,75679,603,32770,
712,globaldef000711,75695,604,32770,
713,globaldef000712,75711,605,32770,
714,globaldef000713,75727,606,32770,
715,globaldef000714,75743,607,32770,
716,globaldef000716,75759,608,32770,
717,globaldef000717,75775,609,32770,
718,globaldef000718,75791,610,32770,
719,globaldef000719,75807,611,32770,
720,globaldef000720,75823,612,32770,
721,globaldef000721,75839,613,32770,
722,globaldef000722,75855,614,32770,
723,globaldef000723,75871,615,32770,
724,globaldef000724,75887,616,32770,
725,globaldef000725,75903,617,32770,
726,globaldef000726,75919,618,32770,
727,globaldef000727,75935,619,32770,
728,globaldef000728,75951,620,32770,
